id,project_id,title,description,status,priority,owner_member_id,due_at,source_type,source_id,related_issue_id,created_at,updated_at
TODO-0014,PROJ-001,TE Connectivity Korea 단가 7% 인상 통보 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,open,medium,PM-002,2026-04-08,issue,AI-ISS-2026-004,ISS-2026-004,2026-04-03T09:00:00,2026-06-01T09:00:00
TODO-0015,PROJ-001,박서연 담당 고객 인수인계 준비 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",open,high,PM-002,2026-05-16,issue,AI-ISS-2026-005,ISS-2026-005,2026-05-12T09:00:00,2026-06-01T09:00:00
TODO-0016,PROJ-001,박서연 담당 고객 인수인계 준비 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,open,high,PM-002,2026-05-17,issue,AI-ISS-2026-005,ISS-2026-005,2026-05-12T09:00:00,2026-06-01T09:00:00
TODO-0017,PROJ-001,Hanil Motors 정기 발주 수량 변경 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,low,PM-002,2025-07-16,issue,AI-ISS-2025-007,ISS-2025-007,2025-07-12T09:00:00,2026-06-01T09:00:00
TODO-0018,PROJ-001,Hanil Motors 정기 발주 수량 변경 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,low,PM-002,2025-07-17,issue,AI-ISS-2025-007,ISS-2025-007,2025-07-12T09:00:00,2026-06-01T09:00:00
TODO-0019,PROJ-001,Local Cable Works 대체품 승인 검토 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,medium,PM-002,2025-10-15,issue,AI-ISS-2025-010,ISS-2025-010,2025-10-11T09:00:00,2026-06-01T09:00:00
TODO-0020,PROJ-001,Local Cable Works 대체품 승인 검토 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,medium,PM-002,2025-10-16,issue,AI-ISS-2025-010,ISS-2025-010,2025-10-11T09:00:00,2026-06-01T09:00:00
TODO-0021,PROJ-001,월초 재고 실사 차이 조정 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,low,PM-005,2026-01-09,issue,AI-ISS-2026-001,ISS-2026-001,2026-01-05T09:00:00,2026-06-01T09:00:00
TODO-0022,PROJ-001,월초 재고 실사 차이 조정 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,low,PM-005,2026-01-10,issue,AI-ISS-2026-001,ISS-2026-001,2026-01-05T09:00:00,2026-06-01T09:00:00
TODO-0023,PROJ-001,Mirae EV Systems 개선대책 회신 지연 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,medium,PM-002,2026-03-07,issue,AI-ISS-2026-003,ISS-2026-003,2026-03-03T09:00:00,2026-06-01T09:00:00
TODO-0024,PROJ-001,Mirae EV Systems 개선대책 회신 지연 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,medium,PM-002,2026-03-08,issue,AI-ISS-2026-003,ISS-2026-003,2026-03-03T09:00:00,2026-06-01T09:00:00
TODO-0025,PROJ-001,Vietnam향 포장 라벨 문구 수정 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",open,low,PM-002,2026-05-22,issue,AI-ISS-2026-006,ISS-2026-006,2026-05-18T09:00:00,2026-06-01T09:00:00
TODO-0026,PROJ-001,Vietnam향 포장 라벨 문구 수정 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,open,low,PM-002,2026-05-23,issue,AI-ISS-2026-006,ISS-2026-006,2026-05-18T09:00:00,2026-06-01T09:00:00
TODO-0027,PROJ-001,KET Supplier 월말 입고 분할 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,medium,PM-002,2025-12-24,issue,AI-ISS-2025-013,ISS-2025-013,2025-12-20T09:00:00,2026-06-01T09:00:00
TODO-0028,PROJ-001,KET Supplier 월말 입고 분할 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,medium,PM-002,2025-12-25,issue,AI-ISS-2025-013,ISS-2025-013,2025-12-20T09:00:00,2026-06-01T09:00:00
TODO-0029,PROJ-001,고객별 월간 리스크 태그 정리 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",open,low,PM-002,2026-05-24,issue,AI-ISS-2026-007,ISS-2026-007,2026-05-20T09:00:00,2026-06-01T09:00:00
TODO-0030,PROJ-001,고객별 월간 리스크 태그 정리 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,open,low,PM-002,2026-05-25,issue,AI-ISS-2026-007,ISS-2026-007,2026-05-20T09:00:00,2026-06-01T09:00:00
TODO-0031,PROJ-001,JST Components 검사 성적서 보완 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,medium,PM-002,2025-11-22,issue,AI-ISS-2025-014,ISS-2025-014,2025-11-18T09:00:00,2026-06-01T09:00:00
TODO-0032,PROJ-001,JST Components 검사 성적서 보완 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,medium,PM-002,2025-11-23,issue,AI-ISS-2025-014,ISS-2025-014,2025-11-18T09:00:00,2026-06-01T09:00:00
TODO-0033,PROJ-001,Daesung Automotive 신규 안전재고 기준 협의 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",open,medium,PM-002,2026-03-26,issue,AI-ISS-2026-008,ISS-2026-008,2026-03-22T09:00:00,2026-06-01T09:00:00
TODO-0034,PROJ-001,Daesung Automotive 신규 안전재고 기준 협의 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,open,medium,PM-002,2026-03-27,issue,AI-ISS-2026-008,ISS-2026-008,2026-03-22T09:00:00,2026-06-01T09:00:00
TODO-0035,PROJ-001,분기 공급사 평가 자료 취합 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,low,PM-005,2026-04-22,issue,AI-ISS-2026-009,ISS-2026-009,2026-04-18T09:00:00,2026-06-01T09:00:00
TODO-0036,PROJ-001,분기 공급사 평가 자료 취합 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,low,PM-005,2026-04-23,issue,AI-ISS-2026-009,ISS-2026-009,2026-04-18T09:00:00,2026-06-01T09:00:00
TODO-0037,PROJ-001,Hanil Motors 수량 불일치 클레임 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",open,medium,PM-002,2026-05-17,issue,AI-ISSUE-2026-009,ISSUE-2026-009,2026-05-13T09:00:00,2026-06-01T09:00:00
TODO-0038,PROJ-001,Hanil Motors 수량 불일치 클레임 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,open,medium,PM-002,2026-05-18,issue,AI-ISSUE-2026-009,ISSUE-2026-009,2026-05-13T09:00:00,2026-06-01T09:00:00
