id,business_entity_id,project_id,customer_id,product_id,quantity,shipment_date,carrier,shipping_method,expected_delivery_date,actual_delivery_date,status,logistics_owner_member_id,related_issue_id,created_at,updated_at
SHP-00043,BE-SHIP-0043,PROJ-001,CUS-002,AP-CN-204,883,2025-09-21,FedEx,Courier,2025-09-22,2025-09-27,in_transit,PM-012,ISS-2025-006,2025-09-21T09:00:00,2026-06-01T09:00:00
SHP-00044,BE-SHIP-0044,PROJ-001,CUS-004,AP-TM-118,4022,2025-10-13,DHL,Air,2025-10-22,2025-10-24,delivered,PM-012,ISS-2026-009,2025-10-13T09:00:00,2026-06-01T09:00:00
SHP-00045,BE-SHIP-0045,PROJ-001,CUS-003,AP-SC-330,4436,2025-08-12,CJ Logistics,Sea,2025-08-30,2025-09-01,delivered,PM-012,ISS-2025-011,2025-08-12T09:00:00,2026-06-01T09:00:00
SHP-00046,BE-SHIP-0046,PROJ-001,CUS-001,AP-TM-118,2507,2025-12-19,Hanjin,Sea,2025-12-30,2025-12-30,delayed,PM-012,ISS-2025-013,2025-12-19T09:00:00,2026-06-01T09:00:00
SHP-00047,BE-SHIP-0047,PROJ-001,CUS-003,AP-CB-510,956,2026-01-11,CJ Logistics,Sea,2026-01-12,2026-01-12,in_transit,PM-013,ISS-2025-010,2026-01-11T09:00:00,2026-06-01T09:00:00
SHP-00048,BE-SHIP-0048,PROJ-001,CUS-002,AP-CN-204,3803,2026-01-30,Hanjin,Sea,2026-02-15,2026-02-15,delivered,PM-013,,2026-01-30T09:00:00,2026-06-01T09:00:00
SHP-00049,BE-SHIP-0049,PROJ-001,CUS-005,AP-WH-220,1706,2025-10-03,FedEx,Air,2025-10-21,2025-10-20,delayed,PM-013,,2025-10-03T09:00:00,2026-06-01T09:00:00
SHP-00050,BE-SHIP-0050,PROJ-001,CUS-003,AP-SC-330,1446,2026-02-21,DHL,Air,2026-02-22,2026-02-21,in_transit,PM-013,ISS-2026-003,2026-02-21T09:00:00,2026-06-01T09:00:00
SHP-00051,BE-SHIP-0051,PROJ-001,CUS-001,AP-TM-118,1582,2026-01-26,Korea Express,Air,2026-02-12,2026-02-21,customs_hold,PM-013,,2026-01-26T09:00:00,2026-06-01T09:00:00
SHP-00052,BE-SHIP-0052,PROJ-001,CUS-003,AP-SC-330,992,2025-09-05,Korea Express,Courier,2025-09-07,2025-09-06,delayed,PM-012,ISS-2025-011,2025-09-05T09:00:00,2026-06-01T09:00:00
SHP-00053,BE-SHIP-0053,PROJ-001,CUS-005,AP-CB-510,3637,2026-01-29,FedEx,Courier,2026-01-31,2026-01-31,delivered,PM-013,ISS-2025-009,2026-01-29T09:00:00,2026-06-01T09:00:00
SHP-00054,BE-SHIP-0054,PROJ-001,CUS-003,AP-CB-510,3063,2025-08-08,CJ Logistics,Truck,2025-08-16,2025-08-16,delivered,PM-011,ISS-2025-010,2025-08-08T09:00:00,2026-06-01T09:00:00
SHP-00055,BE-SHIP-0055,PROJ-001,CUS-003,AP-SC-330,3393,2025-06-13,DHL,Sea,2025-06-20,2025-06-20,in_transit,PM-013,ISS-2026-003,2025-06-13T09:00:00,2026-06-01T09:00:00
SHP-00056,BE-SHIP-0056,PROJ-001,CUS-004,AP-RL-450,1875,2025-09-09,CJ Logistics,Sea,2025-09-11,2025-09-11,delayed,PM-012,ISS-2025-012,2025-09-09T09:00:00,2026-06-01T09:00:00
SHP-00057,BE-SHIP-0057,PROJ-001,CUS-005,AP-CB-510,4330,2026-04-06,DHL,Truck,2026-04-21,2026-04-21,customs_hold,PM-013,ISS-2025-009,2026-04-06T09:00:00,2026-06-01T09:00:00
SHP-00058,BE-SHIP-0058,PROJ-001,CUS-002,AP-CB-510,2074,2025-10-12,FedEx,Sea,2025-10-30,2025-10-29,customs_hold,PM-013,,2025-10-12T09:00:00,2026-06-01T09:00:00
SHP-00059,BE-SHIP-0059,PROJ-001,CUS-003,AP-TM-118,3252,2025-10-18,FedEx,Courier,2025-11-07,2025-11-06,customs_hold,PM-012,,2025-10-18T09:00:00,2026-06-01T09:00:00
SHP-00060,BE-SHIP-0060,PROJ-001,CUS-003,AP-SC-330,1918,2026-01-17,CJ Logistics,Truck,2026-01-19,2026-01-28,in_transit,PM-012,ISS-2025-014,2026-01-17T09:00:00,2026-06-01T09:00:00
SHP-00061,BE-SHIP-0061,PROJ-001,CUS-001,AP-CN-204,4063,2026-04-17,FedEx,Air,2026-04-19,2026-04-28,delivered,PM-013,ISS-2026-005,2026-04-17T09:00:00,2026-06-01T09:00:00
SHP-00062,BE-SHIP-0062,PROJ-001,CUS-003,AP-SC-330,4468,2025-06-24,Hanjin,Truck,2025-07-09,2025-07-11,delayed,PM-013,ISS-2025-014,2025-06-24T09:00:00,2026-06-01T09:00:00
SHP-00063,BE-SHIP-0063,PROJ-001,CUS-005,AP-CB-510,3892,2026-04-21,CJ Logistics,Truck,2026-05-04,2026-05-06,customs_hold,PM-013,ISS-2026-006,2026-04-21T09:00:00,2026-06-01T09:00:00
SHP-00064,BE-SHIP-0064,PROJ-001,CUS-003,AP-SC-330,2706,2025-12-30,Korea Express,Sea,2026-01-12,2026-01-12,in_transit,PM-013,ISS-2025-011,2025-12-30T09:00:00,2026-06-01T09:00:00
SHP-00065,BE-SHIP-0065,PROJ-001,CUS-001,AP-TM-118,1366,2026-01-01,CJ Logistics,Truck,2026-01-07,2026-01-06,customs_hold,PM-011,ISS-2026-007,2026-01-01T09:00:00,2026-06-01T09:00:00
SHP-00066,BE-SHIP-0066,PROJ-001,CUS-003,AP-SC-330,2145,2025-12-13,Hanjin,Courier,2025-12-29,2025-12-31,customs_hold,PM-011,ISS-2025-014,2025-12-13T09:00:00,2026-06-01T09:00:00
SHP-00067,BE-SHIP-0067,PROJ-001,CUS-005,AP-CB-510,553,2026-03-02,Korea Express,Truck,2026-03-18,2026-03-18,in_transit,PM-013,ISS-2025-009,2026-03-02T09:00:00,2026-06-01T09:00:00
SHP-00068,BE-SHIP-0068,PROJ-001,CUS-003,AP-SC-330,498,2025-10-07,Korea Express,Air,2025-10-25,2025-11-03,in_transit,PM-012,ISS-2026-003,2025-10-07T09:00:00,2026-06-01T09:00:00
SHP-00069,BE-SHIP-0069,PROJ-001,CUS-001,AP-RL-450,997,2026-05-28,Hanjin,Courier,2026-06-01,2026-06-01,customs_hold,PM-013,ISS-2026-007,2026-05-28T09:00:00,2026-06-01T09:00:00
SHP-00070,BE-SHIP-0070,PROJ-001,CUS-005,AP-CB-510,3518,2025-06-14,FedEx,Truck,2025-06-16,2025-06-15,delayed,PM-012,ISS-2025-009,2025-06-14T09:00:00,2026-06-01T09:00:00
SHP-00071,BE-SHIP-0071,PROJ-001,CUS-001,AP-RL-450,3885,2025-07-04,DHL,Truck,2025-07-14,2025-07-19,in_transit,PM-011,,2025-07-04T09:00:00,2026-06-01T09:00:00
SHP-00072,BE-SHIP-0072,PROJ-001,CUS-004,AP-RL-450,3678,2026-04-27,FedEx,Truck,2026-05-11,2026-05-11,customs_hold,PM-011,ISS-2025-012,2026-04-27T09:00:00,2026-06-01T09:00:00
SHP-00073,BE-SHIP-0073,PROJ-001,CUS-001,AP-TM-118,2119,2026-05-25,Korea Express,Truck,2026-05-29,2026-06-01,customs_hold,PM-013,ISS-2025-013,2026-05-25T09:00:00,2026-06-01T09:00:00
SHP-00074,BE-SHIP-0074,PROJ-001,CUS-004,AP-RL-450,2452,2026-05-18,DHL,Sea,2026-05-27,2026-05-27,delivered,PM-013,ISS-2025-007,2026-05-18T09:00:00,2026-06-01T09:00:00
SHP-00075,BE-SHIP-0075,PROJ-001,CUS-002,AP-TM-118,1728,2026-01-17,Hanjin,Courier,2026-01-18,2026-01-17,in_transit,PM-013,,2026-01-17T09:00:00,2026-06-01T09:00:00
SHP-00076,BE-SHIP-0076,PROJ-001,CUS-003,AP-CB-510,3433,2026-04-29,CJ Logistics,Truck,2026-05-19,2026-05-21,customs_hold,PM-011,ISS-2025-010,2026-04-29T09:00:00,2026-06-01T09:00:00
SHP-00077,BE-SHIP-0077,PROJ-001,CUS-002,AP-CN-204,111,2026-05-27,CJ Logistics,Truck,2026-06-01,2026-06-01,customs_hold,PM-013,ISS-2026-008,2026-05-27T09:00:00,2026-06-01T09:00:00
SHP-00078,BE-SHIP-0078,PROJ-001,CUS-001,AP-CN-204,1111,2025-10-18,Korea Express,Truck,2025-10-29,2025-11-03,in_transit,PM-011,ISS-2026-005,2025-10-18T09:00:00,2026-06-01T09:00:00
SHP-00079,BE-SHIP-0079,PROJ-001,CUS-004,AP-CN-204,1496,2025-12-02,Hanjin,Sea,2025-12-08,2025-12-08,delivered,PM-011,,2025-12-02T09:00:00,2026-06-01T09:00:00
SHP-00080,BE-SHIP-0080,PROJ-001,CUS-005,AP-CB-510,3978,2026-05-05,DHL,Truck,2026-05-25,2026-05-24,delayed,PM-012,ISS-2025-009,2026-05-05T09:00:00,2026-06-01T09:00:00
SHP-00081,BE-SHIP-0081,PROJ-001,CUS-005,AP-CB-510,713,2026-01-05,CJ Logistics,Truck,2026-01-25,2026-01-30,delivered,PM-011,ISS-2025-009,2026-01-05T09:00:00,2026-06-01T09:00:00
SHP-00082,BE-SHIP-0082,PROJ-001,CUS-001,AP-CN-204,709,2026-04-09,FedEx,Courier,2026-04-27,2026-04-27,in_transit,PM-013,ISS-2026-005,2026-04-09T09:00:00,2026-06-01T09:00:00
SHP-00083,BE-SHIP-0083,PROJ-001,CUS-002,AP-CN-204,188,2026-03-26,FedEx,Sea,2026-04-08,2026-04-13,customs_hold,PM-013,ISS-2025-006,2026-03-26T09:00:00,2026-06-01T09:00:00
SHP-00084,BE-SHIP-0084,PROJ-001,CUS-003,AP-SC-330,3632,2025-06-04,Korea Express,Sea,2025-06-12,2025-06-17,customs_hold,PM-012,ISS-2025-011,2025-06-04T09:00:00,2026-06-01T09:00:00
SHP-00085,BE-SHIP-0085,PROJ-001,CUS-003,AP-SC-330,3405,2026-05-20,DHL,Sea,2026-06-01,2026-05-31,delayed,PM-013,ISS-2026-003,2026-05-20T09:00:00,2026-06-01T09:00:00
SHP-00086,BE-SHIP-0086,PROJ-001,CUS-005,AP-CB-510,4811,2026-05-18,FedEx,Sea,2026-05-27,2026-05-29,delayed,PM-011,ISS-2026-006,2026-05-18T09:00:00,2026-06-01T09:00:00
SHP-00087,BE-SHIP-0087,PROJ-001,CUS-004,AP-RL-450,4183,2026-05-09,CJ Logistics,Air,2026-05-13,2026-05-12,customs_hold,PM-012,ISS-2025-012,2026-05-09T09:00:00,2026-06-01T09:00:00
SHP-00088,BE-SHIP-0088,PROJ-001,CUS-001,AP-TM-118,3468,2025-12-29,CJ Logistics,Courier,2026-01-16,2026-01-18,in_transit,PM-012,ISS-2026-007,2025-12-29T09:00:00,2026-06-01T09:00:00
SHP-00089,BE-SHIP-0089,PROJ-001,CUS-002,AP-CB-510,1666,2025-10-21,Korea Express,Truck,2025-10-26,2025-10-25,delayed,PM-012,,2025-10-21T09:00:00,2026-06-01T09:00:00
SHP-00090,BE-SHIP-0090,PROJ-001,CUS-002,AP-CN-204,3458,2025-09-23,CJ Logistics,Courier,2025-09-26,2025-09-26,in_transit,PM-012,,2025-09-23T09:00:00,2026-06-01T09:00:00
SHP-00091,BE-SHIP-0091,PROJ-001,CUS-002,AP-CN-204,703,2025-10-04,CJ Logistics,Courier,2025-10-07,2025-10-12,in_transit,PM-011,ISS-2025-006,2025-10-04T09:00:00,2026-06-01T09:00:00
SHP-00092,BE-SHIP-0092,PROJ-001,CUS-001,AP-TM-118,4855,2025-10-12,Korea Express,Air,2025-10-16,2025-10-16,delayed,PM-011,ISS-2025-013,2025-10-12T09:00:00,2026-06-01T09:00:00
SHP-00093,BE-SHIP-0093,PROJ-001,CUS-005,AP-CB-510,4334,2025-11-21,FedEx,Sea,2025-12-01,2025-11-30,customs_hold,PM-011,ISS-2025-009,2025-11-21T09:00:00,2026-06-01T09:00:00
SHP-00094,BE-SHIP-0094,PROJ-001,CUS-001,AP-WH-220,4415,2025-06-16,Hanjin,Sea,2025-07-02,2025-07-02,in_transit,PM-012,ISS-2025-008,2025-06-16T09:00:00,2026-06-01T09:00:00
SHP-00095,BE-SHIP-0095,PROJ-001,CUS-001,AP-WH-220,3684,2026-03-28,DHL,Sea,2026-04-13,2026-04-18,delayed,PM-013,ISS-2025-008,2026-03-28T09:00:00,2026-06-01T09:00:00
SHP-00096,BE-SHIP-0096,PROJ-001,CUS-005,AP-CB-510,3811,2025-07-28,DHL,Air,2025-08-02,2025-08-04,in_transit,PM-011,ISS-2026-006,2025-07-28T09:00:00,2026-06-01T09:00:00
SHP-00097,BE-SHIP-0097,PROJ-001,CUS-004,AP-WH-220,2241,2025-07-06,Korea Express,Sea,2025-07-08,2025-07-17,customs_hold,PM-012,ISS-2026-009,2025-07-06T09:00:00,2026-06-01T09:00:00
SHP-00098,BE-SHIP-0098,PROJ-001,CUS-005,AP-CB-510,4546,2026-03-25,Hanjin,Air,2026-04-09,2026-04-09,delayed,PM-013,ISS-2025-009,2026-03-25T09:00:00,2026-06-01T09:00:00
SHP-00099,BE-SHIP-0099,PROJ-001,CUS-001,AP-SC-330,3160,2025-10-31,FedEx,Air,2025-11-06,2025-11-08,delayed,PM-012,ISS-2026-007,2025-10-31T09:00:00,2026-06-01T09:00:00
SHP-00100,BE-SHIP-0100,PROJ-001,CUS-003,AP-TM-118,1979,2025-07-25,FedEx,Air,2025-08-09,2025-08-18,customs_hold,PM-011,ISS-2026-009,2025-07-25T09:00:00,2026-06-01T09:00:00
SHP-00101,BE-SHIP-0101,PROJ-001,CUS-003,AP-CB-510,3064,2025-06-27,Hanjin,Air,2025-07-09,2025-07-09,in_transit,PM-012,ISS-2025-010,2025-06-27T09:00:00,2026-06-01T09:00:00
SHP-00102,BE-SHIP-0102,PROJ-001,CUS-002,AP-CN-204,689,2026-04-25,DHL,Air,2026-04-26,2026-04-26,customs_hold,PM-012,ISS-2026-004,2026-04-25T09:00:00,2026-06-01T09:00:00
SHP-00103,BE-SHIP-0103,PROJ-001,CUS-002,AP-CN-204,4134,2025-11-18,Hanjin,Sea,2025-12-01,2025-12-06,delivered,PM-012,ISS-2025-006,2025-11-18T09:00:00,2026-06-01T09:00:00
SHP-00104,BE-SHIP-0104,PROJ-001,CUS-004,AP-CB-510,2226,2026-01-30,Hanjin,Air,2026-02-11,2026-02-11,customs_hold,PM-012,,2026-01-30T09:00:00,2026-06-01T09:00:00
SHP-00105,BE-SHIP-0105,PROJ-001,CUS-002,AP-CN-204,3724,2025-08-24,Korea Express,Sea,2025-08-25,2025-08-30,in_transit,PM-012,ISS-2026-008,2025-08-24T09:00:00,2026-06-01T09:00:00
SHP-00106,BE-SHIP-0106,PROJ-001,CUS-002,AP-CN-204,3750,2025-10-16,Hanjin,Air,2025-10-21,2025-10-21,delayed,PM-013,ISS-2026-004,2025-10-16T09:00:00,2026-06-01T09:00:00
SHP-00107,BE-SHIP-0107,PROJ-001,CUS-004,AP-RL-450,479,2025-06-25,Hanjin,Sea,2025-06-27,2025-07-06,in_transit,PM-012,ISS-2025-012,2025-06-25T09:00:00,2026-06-01T09:00:00
SHP-00108,BE-SHIP-0108,PROJ-001,CUS-002,AP-RL-450,3521,2026-02-03,Korea Express,Sea,2026-02-16,2026-02-18,delivered,PM-013,,2026-02-03T09:00:00,2026-06-01T09:00:00
SHP-00109,BE-SHIP-0109,PROJ-001,CUS-001,AP-TM-118,4058,2025-07-09,FedEx,Air,2025-07-17,2025-07-17,customs_hold,PM-011,ISS-2025-013,2025-07-09T09:00:00,2026-06-01T09:00:00
SHP-00110,BE-SHIP-0110,PROJ-001,CUS-002,AP-CN-204,1695,2025-10-17,FedEx,Air,2025-10-27,2025-10-27,customs_hold,PM-013,ISS-2026-004,2025-10-17T09:00:00,2026-06-01T09:00:00
SHP-00111,BE-SHIP-0111,PROJ-001,CUS-004,AP-CB-510,2000,2026-05-12,CJ Logistics,Truck,2026-05-15,2026-05-15,issue_reported,PM-011,ISSUE-2026-009,2026-05-12T09:00:00,2026-06-01T09:00:00
