id,project_id,title,event_type,start_at,end_at,related_todo_id,related_issue_id,created_at,updated_at
CAL-0012,PROJ-001,마감: Hyundai Mobis Tier2 긴급 항공 이송 - 다음 액션 및 담당자 회신,todo_due,2026-02-11T09:00:00,2026-02-11T09:00:00,TODO-0012,ISS-2026-002,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0013,PROJ-001,마감: TE Connectivity Korea 단가 7% 인상 통보 - 가능 수량과 고객 영향도 확인,todo_due,2026-04-07T09:00:00,2026-04-07T09:00:00,TODO-0013,ISS-2026-004,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0014,PROJ-001,마감: TE Connectivity Korea 단가 7% 인상 통보 - 다음 액션 및 담당자 회신,todo_due,2026-04-08T09:00:00,2026-04-08T09:00:00,TODO-0014,ISS-2026-004,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0015,PROJ-001,마감: 박서연 담당 고객 인수인계 준비 - 가능 수량과 고객 영향도 확인,todo_due,2026-05-16T09:00:00,2026-05-16T09:00:00,TODO-0015,ISS-2026-005,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0016,PROJ-001,마감: 박서연 담당 고객 인수인계 준비 - 다음 액션 및 담당자 회신,todo_due,2026-05-17T09:00:00,2026-05-17T09:00:00,TODO-0016,ISS-2026-005,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0017,PROJ-001,마감: Hanil Motors 정기 발주 수량 변경 - 가능 수량과 고객 영향도 확인,todo_due,2025-07-16T09:00:00,2025-07-16T09:00:00,TODO-0017,ISS-2025-007,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0018,PROJ-001,마감: Hanil Motors 정기 발주 수량 변경 - 다음 액션 및 담당자 회신,todo_due,2025-07-17T09:00:00,2025-07-17T09:00:00,TODO-0018,ISS-2025-007,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0019,PROJ-001,마감: Local Cable Works 대체품 승인 검토 - 가능 수량과 고객 영향도 확인,todo_due,2025-10-15T09:00:00,2025-10-15T09:00:00,TODO-0019,ISS-2025-010,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0020,PROJ-001,마감: Local Cable Works 대체품 승인 검토 - 다음 액션 및 담당자 회신,todo_due,2025-10-16T09:00:00,2025-10-16T09:00:00,TODO-0020,ISS-2025-010,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0021,PROJ-001,마감: 월초 재고 실사 차이 조정 - 가능 수량과 고객 영향도 확인,todo_due,2026-01-09T09:00:00,2026-01-09T09:00:00,TODO-0021,ISS-2026-001,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0022,PROJ-001,마감: 월초 재고 실사 차이 조정 - 다음 액션 및 담당자 회신,todo_due,2026-01-10T09:00:00,2026-01-10T09:00:00,TODO-0022,ISS-2026-001,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0023,PROJ-001,마감: Mirae EV Systems 개선대책 회신 지연 - 가능 수량과 고객 영향도 확인,todo_due,2026-03-07T09:00:00,2026-03-07T09:00:00,TODO-0023,ISS-2026-003,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0024,PROJ-001,마감: Mirae EV Systems 개선대책 회신 지연 - 다음 액션 및 담당자 회신,todo_due,2026-03-08T09:00:00,2026-03-08T09:00:00,TODO-0024,ISS-2026-003,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0025,PROJ-001,마감: Vietnam향 포장 라벨 문구 수정 - 가능 수량과 고객 영향도 확인,todo_due,2026-05-22T09:00:00,2026-05-22T09:00:00,TODO-0025,ISS-2026-006,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0026,PROJ-001,마감: Vietnam향 포장 라벨 문구 수정 - 다음 액션 및 담당자 회신,todo_due,2026-05-23T09:00:00,2026-05-23T09:00:00,TODO-0026,ISS-2026-006,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0027,PROJ-001,마감: KET Supplier 월말 입고 분할 - 가능 수량과 고객 영향도 확인,todo_due,2025-12-24T09:00:00,2025-12-24T09:00:00,TODO-0027,ISS-2025-013,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0028,PROJ-001,마감: KET Supplier 월말 입고 분할 - 다음 액션 및 담당자 회신,todo_due,2025-12-25T09:00:00,2025-12-25T09:00:00,TODO-0028,ISS-2025-013,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0029,PROJ-001,마감: 고객별 월간 리스크 태그 정리 - 가능 수량과 고객 영향도 확인,todo_due,2026-05-24T09:00:00,2026-05-24T09:00:00,TODO-0029,ISS-2026-007,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0030,PROJ-001,마감: 고객별 월간 리스크 태그 정리 - 다음 액션 및 담당자 회신,todo_due,2026-05-25T09:00:00,2026-05-25T09:00:00,TODO-0030,ISS-2026-007,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0031,PROJ-001,마감: JST Components 검사 성적서 보완 - 가능 수량과 고객 영향도 확인,todo_due,2025-11-22T09:00:00,2025-11-22T09:00:00,TODO-0031,ISS-2025-014,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0032,PROJ-001,마감: JST Components 검사 성적서 보완 - 다음 액션 및 담당자 회신,todo_due,2025-11-23T09:00:00,2025-11-23T09:00:00,TODO-0032,ISS-2025-014,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0033,PROJ-001,마감: Daesung Automotive 신규 안전재고 기준 협의 - 가능 수량과 고객 영향도 확인,todo_due,2026-03-26T09:00:00,2026-03-26T09:00:00,TODO-0033,ISS-2026-008,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0034,PROJ-001,마감: Daesung Automotive 신규 안전재고 기준 협의 - 다음 액션 및 담당자 회신,todo_due,2026-03-27T09:00:00,2026-03-27T09:00:00,TODO-0034,ISS-2026-008,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0035,PROJ-001,마감: 분기 공급사 평가 자료 취합 - 가능 수량과 고객 영향도 확인,todo_due,2026-04-22T09:00:00,2026-04-22T09:00:00,TODO-0035,ISS-2026-009,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0036,PROJ-001,마감: 분기 공급사 평가 자료 취합 - 다음 액션 및 담당자 회신,todo_due,2026-04-23T09:00:00,2026-04-23T09:00:00,TODO-0036,ISS-2026-009,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0037,PROJ-001,마감: Hanil Motors 수량 불일치 클레임 - 가능 수량과 고객 영향도 확인,todo_due,2026-05-17T09:00:00,2026-05-17T09:00:00,TODO-0037,ISSUE-2026-009,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0038,PROJ-001,마감: Hanil Motors 수량 불일치 클레임 - 다음 액션 및 담당자 회신,todo_due,2026-05-18T09:00:00,2026-05-18T09:00:00,TODO-0038,ISSUE-2026-009,2026-06-01T09:00:00,2026-06-01T09:00:00
