shipment_id,shipment_date,customer_id,product_id,quantity,carrier,shipping_method,expected_delivery_date,actual_delivery_date,shipment_status,logistics_owner,related_issue_id
SHP-00014,2026-03-01,CUS-003,AP-SC-330,3542,Hanjin,Truck,2026-03-13,2026-03-12,In Transit,권재윤,ISS-2025-014
SHP-00015,2025-07-07,CUS-002,AP-CN-204,1050,DHL,Sea,2025-07-17,2025-07-22,Delivered,윤예린,ISS-2026-004
SHP-00016,2025-08-18,CUS-002,AP-CN-204,4039,Korea Express,Truck,2025-09-04,2025-09-13,Delayed,문태준,ISS-2025-006
SHP-00017,2025-09-07,CUS-003,AP-SC-330,3110,CJ Logistics,Air,2025-09-09,2025-09-09,In Transit,권재윤,ISS-2026-003
SHP-00018,2025-12-23,CUS-001,AP-SC-330,2852,CJ Logistics,Courier,2026-01-11,2026-01-11,In Transit,윤예린,ISS-2026-007
SHP-00019,2025-10-07,CUS-001,AP-WH-220,3557,Korea Express,Truck,2025-10-21,2025-10-30,In Transit,권재윤,ISS-2025-008
SHP-00020,2026-04-24,CUS-002,AP-CN-204,4448,Korea Express,Truck,2026-05-12,2026-05-12,In Transit,권재윤,ISS-2025-006
SHP-00021,2025-08-03,CUS-003,AP-CB-510,1928,FedEx,Sea,2025-08-07,2025-08-09,Delivered,문태준,ISS-2025-010
SHP-00022,2025-10-03,CUS-001,AP-CN-204,485,Korea Express,Sea,2025-10-21,2025-10-30,In Transit,문태준,ISS-2026-007
SHP-00023,2025-10-14,CUS-003,AP-CB-510,3473,Korea Express,Air,2025-10-27,2025-10-27,Customs Hold,권재윤,
SHP-00024,2025-06-18,CUS-003,AP-SC-330,220,Korea Express,Truck,2025-06-19,2025-06-18,In Transit,권재윤,ISS-2025-014
SHP-00025,2026-04-02,CUS-003,AP-CB-510,3620,Hanjin,Sea,2026-04-15,2026-04-15,Delayed,문태준,ISS-2025-010
SHP-00026,2026-02-19,CUS-001,AP-CN-204,4500,Hanjin,Truck,2026-02-28,2026-03-09,Delayed,문태준,ISS-2026-005
SHP-00027,2025-08-08,CUS-001,AP-TM-118,4933,DHL,Sea,2025-08-19,2025-08-24,Delivered,윤예린,ISS-2025-013
SHP-00028,2026-01-16,CUS-001,AP-TM-118,3609,Hanjin,Courier,2026-01-18,2026-01-18,In Transit,문태준,ISS-2026-002
SHP-00029,2025-11-04,CUS-001,AP-TM-118,2692,FedEx,Truck,2025-11-23,2025-12-02,Delivered,권재윤,ISS-2025-013
SHP-00030,2026-04-30,CUS-004,AP-RL-450,2131,DHL,Courier,2026-05-06,2026-05-06,In Transit,문태준,ISS-2025-007
SHP-00031,2025-08-01,CUS-005,AP-CB-510,1142,Korea Express,Courier,2025-08-17,2025-08-17,Delayed,권재윤,ISS-2026-006
SHP-00032,2025-07-21,CUS-001,AP-CN-204,758,Hanjin,Air,2025-07-23,2025-07-25,Customs Hold,윤예린,ISS-2026-005
SHP-00033,2025-06-19,CUS-002,AP-CN-204,264,FedEx,Courier,2025-07-02,2025-07-02,Delivered,문태준,ISS-2026-008
SHP-00034,2026-02-13,CUS-005,AP-RL-450,1897,FedEx,Truck,2026-02-27,2026-03-08,Customs Hold,문태준,
SHP-00035,2026-01-14,CUS-003,AP-SC-330,4490,DHL,Truck,2026-01-28,2026-02-02,Delayed,권재윤,ISS-2025-011
SHP-00036,2026-03-14,CUS-001,AP-TM-118,126,DHL,Courier,2026-03-30,2026-04-08,In Transit,윤예린,ISS-2026-002
SHP-00037,2025-08-07,CUS-001,AP-CN-204,4931,Hanjin,Courier,2025-08-08,2025-08-10,In Transit,권재윤,ISS-2026-005
SHP-00038,2025-10-05,CUS-001,AP-CN-204,1097,DHL,Sea,2025-10-06,2025-10-05,Delayed,윤예린,ISS-2026-005
SHP-00039,2025-12-25,CUS-001,AP-WH-220,1963,DHL,Air,2026-01-08,2026-01-08,Delivered,권재윤,ISS-2025-008
SHP-00040,2025-07-01,CUS-005,AP-CB-510,4522,CJ Logistics,Truck,2025-07-06,2025-07-06,In Transit,권재윤,ISS-2025-009
SHP-00041,2025-09-27,CUS-003,AP-CN-204,1580,FedEx,Air,2025-10-05,2025-10-10,Delayed,문태준,
SHP-00042,2026-03-27,CUS-003,AP-CB-510,2619,Korea Express,Courier,2026-04-01,2026-03-31,Delayed,윤예린,ISS-2025-010
SHP-00043,2025-09-21,CUS-002,AP-CN-204,883,FedEx,Courier,2025-09-22,2025-09-27,In Transit,권재윤,ISS-2025-006
SHP-00044,2025-10-13,CUS-004,AP-TM-118,4022,DHL,Air,2025-10-22,2025-10-24,Delivered,권재윤,ISS-2026-009
SHP-00045,2025-08-12,CUS-003,AP-SC-330,4436,CJ Logistics,Sea,2025-08-30,2025-09-01,Delivered,권재윤,ISS-2025-011
SHP-00046,2025-12-19,CUS-001,AP-TM-118,2507,Hanjin,Sea,2025-12-30,2025-12-30,Delayed,권재윤,ISS-2025-013
SHP-00047,2026-01-11,CUS-003,AP-CB-510,956,CJ Logistics,Sea,2026-01-12,2026-01-12,In Transit,문태준,ISS-2025-010
SHP-00048,2026-01-30,CUS-002,AP-CN-204,3803,Hanjin,Sea,2026-02-15,2026-02-15,Delivered,문태준,
SHP-00049,2025-10-03,CUS-005,AP-WH-220,1706,FedEx,Air,2025-10-21,2025-10-20,Delayed,문태준,
SHP-00050,2026-02-21,CUS-003,AP-SC-330,1446,DHL,Air,2026-02-22,2026-02-21,In Transit,문태준,ISS-2026-003
SHP-00051,2026-01-26,CUS-001,AP-TM-118,1582,Korea Express,Air,2026-02-12,2026-02-21,Customs Hold,문태준,
SHP-00052,2025-09-05,CUS-003,AP-SC-330,992,Korea Express,Courier,2025-09-07,2025-09-06,Delayed,권재윤,ISS-2025-011
SHP-00053,2026-01-29,CUS-005,AP-CB-510,3637,FedEx,Courier,2026-01-31,2026-01-31,Delivered,문태준,ISS-2025-009
SHP-00054,2025-08-08,CUS-003,AP-CB-510,3063,CJ Logistics,Truck,2025-08-16,2025-08-16,Delivered,윤예린,ISS-2025-010
SHP-00055,2025-06-13,CUS-003,AP-SC-330,3393,DHL,Sea,2025-06-20,2025-06-20,In Transit,문태준,ISS-2026-003
SHP-00056,2025-09-09,CUS-004,AP-RL-450,1875,CJ Logistics,Sea,2025-09-11,2025-09-11,Delayed,권재윤,ISS-2025-012
SHP-00057,2026-04-06,CUS-005,AP-CB-510,4330,DHL,Truck,2026-04-21,2026-04-21,Customs Hold,문태준,ISS-2025-009
SHP-00058,2025-10-12,CUS-002,AP-CB-510,2074,FedEx,Sea,2025-10-30,2025-10-29,Customs Hold,문태준,
SHP-00059,2025-10-18,CUS-003,AP-TM-118,3252,FedEx,Courier,2025-11-07,2025-11-06,Customs Hold,권재윤,
SHP-00060,2026-01-17,CUS-003,AP-SC-330,1918,CJ Logistics,Truck,2026-01-19,2026-01-28,In Transit,권재윤,ISS-2025-014
SHP-00061,2026-04-17,CUS-001,AP-CN-204,4063,FedEx,Air,2026-04-19,2026-04-28,Delivered,문태준,ISS-2026-005
SHP-00062,2025-06-24,CUS-003,AP-SC-330,4468,Hanjin,Truck,2025-07-09,2025-07-11,Delayed,문태준,ISS-2025-014
SHP-00063,2026-04-21,CUS-005,AP-CB-510,3892,CJ Logistics,Truck,2026-05-04,2026-05-06,Customs Hold,문태준,ISS-2026-006
SHP-00064,2025-12-30,CUS-003,AP-SC-330,2706,Korea Express,Sea,2026-01-12,2026-01-12,In Transit,문태준,ISS-2025-011
SHP-00065,2026-01-01,CUS-001,AP-TM-118,1366,CJ Logistics,Truck,2026-01-07,2026-01-06,Customs Hold,윤예린,ISS-2026-007
SHP-00066,2025-12-13,CUS-003,AP-SC-330,2145,Hanjin,Courier,2025-12-29,2025-12-31,Customs Hold,윤예린,ISS-2025-014
SHP-00067,2026-03-02,CUS-005,AP-CB-510,553,Korea Express,Truck,2026-03-18,2026-03-18,In Transit,문태준,ISS-2025-009
SHP-00068,2025-10-07,CUS-003,AP-SC-330,498,Korea Express,Air,2025-10-25,2025-11-03,In Transit,권재윤,ISS-2026-003
SHP-00069,2026-05-28,CUS-001,AP-RL-450,997,Hanjin,Courier,2026-06-01,2026-06-01,Customs Hold,문태준,ISS-2026-007
SHP-00070,2025-06-14,CUS-005,AP-CB-510,3518,FedEx,Truck,2025-06-16,2025-06-15,Delayed,권재윤,ISS-2025-009
SHP-00071,2025-07-04,CUS-001,AP-RL-450,3885,DHL,Truck,2025-07-14,2025-07-19,In Transit,윤예린,
SHP-00072,2026-04-27,CUS-004,AP-RL-450,3678,FedEx,Truck,2026-05-11,2026-05-11,Customs Hold,윤예린,ISS-2025-012
SHP-00073,2026-05-25,CUS-001,AP-TM-118,2119,Korea Express,Truck,2026-05-29,2026-06-01,Customs Hold,문태준,ISS-2025-013
SHP-00074,2026-05-18,CUS-004,AP-RL-450,2452,DHL,Sea,2026-05-27,2026-05-27,Delivered,문태준,ISS-2025-007
SHP-00075,2026-01-17,CUS-002,AP-TM-118,1728,Hanjin,Courier,2026-01-18,2026-01-17,In Transit,문태준,
SHP-00076,2026-04-29,CUS-003,AP-CB-510,3433,CJ Logistics,Truck,2026-05-19,2026-05-21,Customs Hold,윤예린,ISS-2025-010
SHP-00077,2026-05-27,CUS-002,AP-CN-204,111,CJ Logistics,Truck,2026-06-01,2026-06-01,Customs Hold,문태준,ISS-2026-008
SHP-00078,2025-10-18,CUS-001,AP-CN-204,1111,Korea Express,Truck,2025-10-29,2025-11-03,In Transit,윤예린,ISS-2026-005
SHP-00079,2025-12-02,CUS-004,AP-CN-204,1496,Hanjin,Sea,2025-12-08,2025-12-08,Delivered,윤예린,
SHP-00080,2026-05-05,CUS-005,AP-CB-510,3978,DHL,Truck,2026-05-25,2026-05-24,Delayed,권재윤,ISS-2025-009
SHP-00081,2026-01-05,CUS-005,AP-CB-510,713,CJ Logistics,Truck,2026-01-25,2026-01-30,Delivered,윤예린,ISS-2025-009
SHP-00082,2026-04-09,CUS-001,AP-CN-204,709,FedEx,Courier,2026-04-27,2026-04-27,In Transit,문태준,ISS-2026-005
SHP-00083,2026-03-26,CUS-002,AP-CN-204,188,FedEx,Sea,2026-04-08,2026-04-13,Customs Hold,문태준,ISS-2025-006
SHP-00084,2025-06-04,CUS-003,AP-SC-330,3632,Korea Express,Sea,2025-06-12,2025-06-17,Customs Hold,권재윤,ISS-2025-011
SHP-00085,2026-05-20,CUS-003,AP-SC-330,3405,DHL,Sea,2026-06-01,2026-05-31,Delayed,문태준,ISS-2026-003
SHP-00086,2026-05-18,CUS-005,AP-CB-510,4811,FedEx,Sea,2026-05-27,2026-05-29,Delayed,윤예린,ISS-2026-006
SHP-00087,2026-05-09,CUS-004,AP-RL-450,4183,CJ Logistics,Air,2026-05-13,2026-05-12,Customs Hold,권재윤,ISS-2025-012
SHP-00088,2025-12-29,CUS-001,AP-TM-118,3468,CJ Logistics,Courier,2026-01-16,2026-01-18,In Transit,권재윤,ISS-2026-007
SHP-00089,2025-10-21,CUS-002,AP-CB-510,1666,Korea Express,Truck,2025-10-26,2025-10-25,Delayed,권재윤,
SHP-00090,2025-09-23,CUS-002,AP-CN-204,3458,CJ Logistics,Courier,2025-09-26,2025-09-26,In Transit,권재윤,
SHP-00091,2025-10-04,CUS-002,AP-CN-204,703,CJ Logistics,Courier,2025-10-07,2025-10-12,In Transit,윤예린,ISS-2025-006
SHP-00092,2025-10-12,CUS-001,AP-TM-118,4855,Korea Express,Air,2025-10-16,2025-10-16,Delayed,윤예린,ISS-2025-013
SHP-00093,2025-11-21,CUS-005,AP-CB-510,4334,FedEx,Sea,2025-12-01,2025-11-30,Customs Hold,윤예린,ISS-2025-009
SHP-00094,2025-06-16,CUS-001,AP-WH-220,4415,Hanjin,Sea,2025-07-02,2025-07-02,In Transit,권재윤,ISS-2025-008
SHP-00095,2026-03-28,CUS-001,AP-WH-220,3684,DHL,Sea,2026-04-13,2026-04-18,Delayed,문태준,ISS-2025-008
SHP-00096,2025-07-28,CUS-005,AP-CB-510,3811,DHL,Air,2025-08-02,2025-08-04,In Transit,윤예린,ISS-2026-006
SHP-00097,2025-07-06,CUS-004,AP-WH-220,2241,Korea Express,Sea,2025-07-08,2025-07-17,Customs Hold,권재윤,ISS-2026-009
SHP-00098,2026-03-25,CUS-005,AP-CB-510,4546,Hanjin,Air,2026-04-09,2026-04-09,Delayed,문태준,ISS-2025-009
SHP-00099,2025-10-31,CUS-001,AP-SC-330,3160,FedEx,Air,2025-11-06,2025-11-08,Delayed,권재윤,ISS-2026-007
SHP-00100,2025-07-25,CUS-003,AP-TM-118,1979,FedEx,Air,2025-08-09,2025-08-18,Customs Hold,윤예린,ISS-2026-009
SHP-00101,2025-06-27,CUS-003,AP-CB-510,3064,Hanjin,Air,2025-07-09,2025-07-09,In Transit,권재윤,ISS-2025-010
SHP-00102,2026-04-25,CUS-002,AP-CN-204,689,DHL,Air,2026-04-26,2026-04-26,Customs Hold,권재윤,ISS-2026-004
SHP-00103,2025-11-18,CUS-002,AP-CN-204,4134,Hanjin,Sea,2025-12-01,2025-12-06,Delivered,권재윤,ISS-2025-006
SHP-00104,2026-01-30,CUS-004,AP-CB-510,2226,Hanjin,Air,2026-02-11,2026-02-11,Customs Hold,권재윤,
SHP-00105,2025-08-24,CUS-002,AP-CN-204,3724,Korea Express,Sea,2025-08-25,2025-08-30,In Transit,권재윤,ISS-2026-008
SHP-00106,2025-10-16,CUS-002,AP-CN-204,3750,Hanjin,Air,2025-10-21,2025-10-21,Delayed,문태준,ISS-2026-004
SHP-00107,2025-06-25,CUS-004,AP-RL-450,479,Hanjin,Sea,2025-06-27,2025-07-06,In Transit,권재윤,ISS-2025-012
SHP-00108,2026-02-03,CUS-002,AP-RL-450,3521,Korea Express,Sea,2026-02-16,2026-02-18,Delivered,문태준,
SHP-00109,2025-07-09,CUS-001,AP-TM-118,4058,FedEx,Air,2025-07-17,2025-07-17,Customs Hold,윤예린,ISS-2025-013
SHP-00110,2025-10-17,CUS-002,AP-CN-204,1695,FedEx,Air,2025-10-27,2025-10-27,Customs Hold,문태준,ISS-2026-004
SHP-00111,2026-05-12,CUS-004,AP-CB-510,2000,CJ Logistics,Truck,2026-05-15,2026-05-15,issue_reported,윤예린,ISSUE-2026-009
SHP-MESSY-2026-010,2026-07-08,CUS-001,AP-WH-220,1150,CJ Logistics,Truck,2026-07-29,,in_progress,윤예린,ISSUE-2026-010
SHP-MESSY-2026-011,2026-08-04,CUS-002,AP-CB-510,1185,CJ Logistics,Truck,2026-08-22,,in_progress,윤예린,ISSUE-2026-011
SHP-MESSY-2026-012,2026-09-01,CUS-004,AP-CN-204,1220,CJ Logistics,Truck,2026-09-26,,in_progress,윤예린,ISSUE-2026-012
SHP-MESSY-2026-013,2026-10-24,CUS-005,AP-TM-118,1255,CJ Logistics,Ocean,2026-11-05,2026-11-05,closed,윤예린,ISSUE-2026-013
SHP-MESSY-2026-014,2026-12-05,CUS-003,AP-RL-450,1290,CJ Logistics,Truck,2026-12-20,,in_progress,윤예린,ISSUE-2026-014
SHP-MESSY-2026-015,2026-12-03,CUS-004,AP-CB-510,1325,CJ Logistics,Truck,2026-12-28,,in_progress,윤예린,ISSUE-2026-015
